"AGE_1","INCOME_1","TIMELAG_1","NUM_GIFTS_1","NUM_PROM_1","AMOUNT_GIFTS_1","AMOUNT_LASTGIFT_1","GIFT_RECENCY_1","PROM_RECENCY_1","ACTION_1","REWARD_1","AGE_2","INCOME_2","TIMELAG_2","NUM_GIFTS_2","NUM_PROM_2","AMOUNT_GIFTS_2","AMOUNT_LASTGIFT_2","GIFT_RECENCY_2","PROM_RECENCY_2","ACTION_2","REWARD_2","AGE_3","INCOME_3","TIMELAG_3","NUM_GIFTS_3","NUM_PROM_3","AMOUNT_GIFTS_3","AMOUNT_LASTGIFT_3","GIFT_RECENCY_3","PROM_RECENCY_3","ACTION_3","REWARD_3","AGE_4","INCOME_4","TIMELAG_4","NUM_GIFTS_4","NUM_PROM_4","AMOUNT_GIFTS_4","AMOUNT_LASTGIFT_4","GIFT_RECENCY_4","PROM_RECENCY_4","ACTION_4","REWARD_4","AGE_5","INCOME_5","TIMELAG_5","NUM_GIFTS_5","NUM_PROM_5","AMOUNT_GIFTS_5","AMOUNT_LASTGIFT_5","GIFT_RECENCY_5","PROM_RECENCY_5","ACTION_5","REWARD_5","AGE_6","INCOME_6","TIMELAG_6","NUM_GIFTS_6","NUM_PROM_6","AMOUNT_GIFTS_6","AMOUNT_LASTGIFT_6","GIFT_RECENCY_6","PROM_RECENCY_6","ACTION_6","REWARD_6","AGE_7","INCOME_7","TIMELAG_7","NUM_GIFTS_7","NUM_PROM_7","AMOUNT_GIFTS_7","AMOUNT_LASTGIFT_7","GIFT_RECENCY_7","PROM_RECENCY_7","ACTION_7","REWARD_7","AGE_8","INCOME_8","TIMELAG_8","NUM_GIFTS_8","NUM_PROM_8","AMOUNT_GIFTS_8","AMOUNT_LASTGIFT_8","GIFT_RECENCY_8","PROM_RECENCY_8","ACTION_8","REWARD_8","AGE_9","INCOME_9","TIMELAG_9","NUM_GIFTS_9","NUM_PROM_9","AMOUNT_GIFTS_9","AMOUNT_LASTGIFT_9","GIFT_RECENCY_9","PROM_RECENCY_9","ACTION_9","REWARD_9","AGE_10","INCOME_10","TIMELAG_10","NUM_GIFTS_10","NUM_PROM_10","AMOUNT_GIFTS_10","AMOUNT_LASTGIFT_10","GIFT_RECENCY_10","PROM_RECENCY_10","ACTION_10","REWARD_10","AGE_11","INCOME_11","TIMELAG_11","NUM_GIFTS_11","NUM_PROM_11","AMOUNT_GIFTS_11","AMOUNT_LASTGIFT_11","GIFT_RECENCY_11","PROM_RECENCY_11","ACTION_11","REWARD_11","AGE_12","INCOME_12","TIMELAG_12","NUM_GIFTS_12","NUM_PROM_12","AMOUNT_GIFTS_12","AMOUNT_LASTGIFT_12","GIFT_RECENCY_12","PROM_RECENCY_12","ACTION_12","REWARD_12","AGE_13","INCOME_13","TIMELAG_13","NUM_GIFTS_13","NUM_PROM_13","AMOUNT_GIFTS_13","AMOUNT_LASTGIFT_13","GIFT_RECENCY_13","PROM_RECENCY_13","ACTION_13","REWARD_13","AGE_14","INCOME_14","TIMELAG_14","NUM_GIFTS_14","NUM_PROM_14","AMOUNT_GIFTS_14","AMOUNT_LASTGIFT_14","GIFT_RECENCY_14","PROM_RECENCY_14","ACTION_14","REWARD_14","AGE_15","INCOME_15","TIMELAG_15","NUM_GIFTS_15","NUM_PROM_15","AMOUNT_GIFTS_15","AMOUNT_LASTGIFT_15","GIFT_RECENCY_15","PROM_RECENCY_15","ACTION_15","REWARD_15","AGE_16","INCOME_16","TIMELAG_16","NUM_GIFTS_16","NUM_PROM_16","AMOUNT_GIFTS_16","AMOUNT_LASTGIFT_16","GIFT_RECENCY_16","PROM_RECENCY_16","ACTION_16","REWARD_16","AGE_17","INCOME_17","TIMELAG_17","NUM_GIFTS_17","NUM_PROM_17","AMOUNT_GIFTS_17","AMOUNT_LASTGIFT_17","GIFT_RECENCY_17","PROM_RECENCY_17","ACTION_17","REWARD_17","AGE_18","INCOME_18","TIMELAG_18","NUM_GIFTS_18","NUM_PROM_18","AMOUNT_GIFTS_18","AMOUNT_LASTGIFT_18","GIFT_RECENCY_18","PROM_RECENCY_18","ACTION_18","REWARD_18","AGE_19","INCOME_19","TIMELAG_19","NUM_GIFTS_19","NUM_PROM_19","AMOUNT_GIFTS_19","AMOUNT_LASTGIFT_19","GIFT_RECENCY_19","PROM_RECENCY_19","ACTION_19","REWARD_19","AGE_20","INCOME_20","TIMELAG_20","NUM_GIFTS_20","NUM_PROM_20","AMOUNT_GIFTS_20","AMOUNT_LASTGIFT_20","GIFT_RECENCY_20","PROM_RECENCY_20","ACTION_20","REWARD_20","AGE_21","INCOME_21","TIMELAG_21","NUM_GIFTS_21","NUM_PROM_21","AMOUNT_GIFTS_21","AMOUNT_LASTGIFT_21","GIFT_RECENCY_21","PROM_RECENCY_21","ACTION_21","REWARD_21","AGE_22","INCOME_22","TIMELAG_22","NUM_GIFTS_22","NUM_PROM_22","AMOUNT_GIFTS_22","AMOUNT_LASTGIFT_22","GIFT_RECENCY_22","PROM_RECENCY_22","ACTION_22","REWARD_22","AGE_23","INCOME_23","TIMELAG_23","NUM_GIFTS_23","NUM_PROM_23","AMOUNT_GIFTS_23","AMOUNT_LASTGIFT_23","GIFT_RECENCY_23","PROM_RECENCY_23","ACTION_23","REWARD_23","AGE_24","INCOME_24","TIMELAG_24","NUM_GIFTS_24","NUM_PROM_24","AMOUNT_GIFTS_24","AMOUNT_LASTGIFT_24","GIFT_RECENCY_24","PROM_RECENCY_24","ACTION_24","REWARD_24","AGE_25","INCOME_25","TIMELAG_25","NUM_GIFTS_25","NUM_PROM_25","AMOUNT_GIFTS_25","AMOUNT_LASTGIFT_25","GIFT_RECENCY_25","PROM_RECENCY_25"
22,2,2,9,27,55.0,5.0,0,1,false,0.0,22,2,2,9,27,55.0,5.0,1,2,true,-0.68,22,2,2,9,28,55.0,5.0,2,0,true,-0.68,22,2,2,9,29,55.0,5.0,3,0,false,0.0,22,2,2,9,29,55.0,5.0,4,1,true,-0.68,22,2,2,9,30,55.0,5.0,5,0,true,9.32,22,2,2,10,31,65.0,10.0,0,0,false,0.0,22,2,2,10,31,65.0,10.0,1,1,false,0.0,22,2,2,10,31,65.0,10.0,2,2,false,0.0,22,2,2,10,31,65.0,10.0,3,3,false,0.0,22,2,2,10,31,65.0,10.0,4,4,false,0.0,22,2,2,10,31,65.0,10.0,5,5,true,4.32,23,2,2,11,32,70.0,5.0,0,0,true,-0.68,23,2,2,11,33,70.0,5.0,1,0,true,-0.68,23,2,2,11,34,70.0,5.0,2,0,false,0.0,23,2,2,11,34,70.0,5.0,3,1,true,-0.68,23,2,2,11,35,70.0,5.0,4,0,true,5.32,23,2,2,12,36,76.0,6.0,0,0,true,-0.68,23,2,2,12,37,76.0,6.0,1,0,false,0.0,23,2,2,12,37,76.0,6.0,2,1,false,0.0,23,2,2,12,37,76.0,6.0,3,2,true,-0.68,23,2,2,12,38,76.0,6.0,4,0,true,-0.68,23,2,2,12,39,76.0,6.0,5,0,true,-0.68,23,2,2,12,40,76.0,6.0,6,0,true,-0.68,24,2,2,12,41,76.0,6.0,7,0
70,2,3,26,59,166.0,10.0,2,0,false,0.0,70,2,3,26,59,166.0,10.0,3,1,true,-0.68,70,2,3,26,60,166.0,10.0,4,0,true,9.32,70,2,3,27,61,176.0,10.0,0,0,true,-0.68,70,2,3,27,62,176.0,10.0,1,0,true,9.32,70,2,3,28,63,186.0,10.0,0,0,false,0.0,70,2,3,28,63,186.0,10.0,1,1,false,0.0,70,2,3,28,63,186.0,10.0,2,2,true,-0.68,70,2,3,28,64,186.0,10.0,3,0,true,-0.68,70,2,3,28,65,186.0,10.0,4,0,true,-0.68,70,2,3,28,66,186.0,10.0,5,0,true,-0.68,70,2,3,28,67,186.0,10.0,6,0,false,0.0,71,2,3,28,67,186.0,10.0,7,1,true,9.32,71,2,3,29,68,196.0,10.0,0,0,true,-0.68,71,2,3,29,69,196.0,10.0,1,0,true,-0.68,71,2,3,29,70,196.0,10.0,2,0,true,-0.68,71,2,3,29,71,196.0,10.0,3,0,false,0.0,71,2,3,29,71,196.0,10.0,4,1,true,11.32,71,2,3,30,72,208.0,12.0,0,0,true,-0.68,71,2,3,30,73,208.0,12.0,1,0,true,5.32,71,2,3,31,74,214.0,6.0,0,0,true,-0.68,71,2,3,31,75,214.0,6.0,1,0,true,-0.68,71,2,3,31,76,214.0,6.0,2,0,false,0.0,71,2,3,31,76,214.0,6.0,3,1,false,0.0,72,2,3,31,76,214.0,6.0,4,2
NA,NA,2,3,18,28.0,12.0,1,2,false,0.0,NA,NA,2,3,18,28.0,12.0,2,3,false,0.0,NA,NA,2,3,18,28.0,12.0,3,4,false,0.0,NA,NA,2,3,18,28.0,12.0,4,5,false,0.0,NA,NA,2,3,18,28.0,12.0,5,6,false,0.0,NA,NA,2,3,18,28.0,12.0,6,7,true,-0.68,NA,NA,2,3,19,28.0,12.0,7,0,true,-0.68,NA,NA,2,3,20,28.0,12.0,8,0,true,-0.68,NA,NA,2,3,21,28.0,12.0,9,0,false,0.0,NA,NA,2,3,21,28.0,12.0,10,1,true,-0.68,NA,NA,2,3,22,28.0,12.0,11,0,true,-0.68,NA,NA,2,3,23,28.0,12.0,12,0,false,0.0,NA,NA,2,3,23,28.0,12.0,13,1,false,0.0,NA,NA,2,3,23,28.0,12.0,14,2,false,0.0,NA,NA,2,3,23,28.0,12.0,15,3,true,-0.68,NA,NA,2,3,24,28.0,12.0,16,0,true,-0.68,NA,NA,2,3,25,28.0,12.0,17,0,false,0.0,NA,NA,2,3,25,28.0,12.0,18,1,true,-0.68,NA,NA,2,3,26,28.0,12.0,19,0,true,-0.68,NA,NA,2,3,27,28.0,12.0,20,0,false,0.0,NA,NA,2,3,27,28.0,12.0,21,1,true,-0.68,NA,NA,2,3,28,28.0,12.0,22,0,true,-0.68,NA,NA,2,3,29,28.0,12.0,23,0,true,-0.68,NA,NA,2,3,30,28.0,12.0,24,0,true,-0.68,NA,NA,2,3,31,28.0,12.0,25,0
43,3,14,1,15,25.0,NA,NA,1,false,0.0,43,3,14,1,15,25.0,NA,NA,2,true,14.32,43,3,14,2,16,40.0,15.0,0,0,false,0.0,43,3,14,2,16,40.0,15.0,1,1,true,9.32,43,3,14,3,17,50.0,10.0,0,0,true,-0.68,43,3,14,3,18,50.0,10.0,1,0,true,-0.68,43,3,14,3,19,50.0,10.0,2,0,true,-0.68,43,3,14,3,20,50.0,10.0,3,0,false,0.0,43,3,14,3,20,50.0,10.0,4,1,false,0.0,43,3,14,3,20,50.0,10.0,5,2,true,-0.68,43,3,14,3,21,50.0,10.0,6,0,true,-0.68,43,3,14,3,22,50.0,10.0,7,0,false,0.0,44,3,14,3,22,50.0,10.0,8,1,true,-0.68,44,3,14,3,23,50.0,10.0,9,0,false,0.0,44,3,14,3,23,50.0,10.0,10,1,true,-0.68,44,3,14,3,24,50.0,10.0,11,0,false,0.0,44,3,14,3,24,50.0,10.0,12,1,true,-0.68,44,3,14,3,25,50.0,10.0,13,0,true,-0.68,44,3,14,3,26,50.0,10.0,14,0,true,19.32,44,3,14,4,27,70.0,20.0,0,0,true,-0.68,44,3,14,4,28,70.0,20.0,1,0,true,-0.68,44,3,14,4,29,70.0,20.0,2,0,true,-0.68,44,3,14,4,30,70.0,20.0,3,0,true,-0.68,44,3,14,4,31,70.0,20.0,4,0,true,-0.68,45,3,14,4,32,70.0,20.0,5,0
28,4,NA,0,9,0.0,NA,NA,NA,true,-0.68,28,4,NA,0,10,0.0,NA,NA,0,true,14.32,28,4,NA,1,11,15.0,15.0,0,0,true,14.32,28,4,NA,2,12,30.0,15.0,0,0,false,0.0,28,4,NA,2,12,30.0,15.0,1,1,true,-0.68,28,4,NA,2,13,30.0,15.0,2,0,true,-0.68,28,4,NA,2,14,30.0,15.0,3,0,true,-0.68,28,4,NA,2,15,30.0,15.0,4,0,true,9.32,28,4,NA,3,16,40.0,10.0,0,0,true,-0.68,28,4,NA,3,17,40.0,10.0,1,0,false,0.0,28,4,NA,3,17,40.0,10.0,2,1,true,-0.68,28,4,NA,3,18,40.0,10.0,3,0,false,0.0,29,4,NA,3,18,40.0,10.0,4,1,true,-0.68,29,4,NA,3,19,40.0,10.0,5,0,false,0.0,29,4,NA,3,19,40.0,10.0,6,1,true,-0.68,29,4,NA,3,20,40.0,10.0,7,0,true,-0.68,29,4,NA,3,21,40.0,10.0,8,0,false,0.0,29,4,NA,3,21,40.0,10.0,9,1,true,-0.68,29,4,NA,3,22,40.0,10.0,10,0,true,-0.68,29,4,NA,3,23,40.0,10.0,11,0,false,0.0,29,4,NA,3,23,40.0,10.0,12,1,false,0.0,29,4,NA,3,23,40.0,10.0,13,2,true,-0.68,29,4,NA,3,24,40.0,10.0,14,0,true,-0.68,29,4,NA,3,25,40.0,10.0,15,0,false,0.0,30,4,NA,3,25,40.0,10.0,16,1
84,4,9,8,35,39.0,NA,NA,NA,true,-0.68,84,4,9,8,36,39.0,NA,NA,0,false,0.0,84,4,9,8,36,39.0,NA,NA,1,false,0.0,84,4,9,8,36,39.0,NA,NA,2,false,0.0,84,4,9,8,36,39.0,NA,NA,3,false,0.0,84,4,9,8,36,39.0,NA,NA,4,true,-0.68,84,4,9,8,37,39.0,NA,NA,0,true,-0.68,84,4,9,8,38,39.0,NA,NA,0,true,7.32,84,4,9,9,39,47.0,8.0,0,0,true,-0.68,84,4,9,9,40,47.0,8.0,1,0,true,-0.68,84,4,9,9,41,47.0,8.0,2,0,false,0.0,84,4,9,9,41,47.0,8.0,3,1,true,-0.68,85,4,9,9,42,47.0,8.0,4,0,true,-0.68,85,4,9,9,43,47.0,8.0,5,0,false,0.0,85,4,9,9,43,47.0,8.0,6,1,true,-0.68,85,4,9,9,44,47.0,8.0,7,0,false,0.0,85,4,9,9,44,47.0,8.0,8,1,false,0.0,85,4,9,9,44,47.0,8.0,9,2,true,-0.68,85,4,9,9,45,47.0,8.0,10,0,false,0.0,85,4,9,9,45,47.0,8.0,11,1,false,0.0,85,4,9,9,45,47.0,8.0,12,2,false,0.0,85,4,9,9,45,47.0,8.0,13,3,true,-0.68,85,4,9,9,46,47.0,8.0,14,0,true,-0.68,85,4,9,9,47,47.0,8.0,15,0,false,0.0,86,4,9,9,47,47.0,8.0,16,1
NA,5,16,20,46,93.0,6.0,2,0,true,3.32,NA,5,16,21,47,97.0,4.0,0,0,true,9.32,NA,5,16,22,48,107.0,10.0,0,0,false,0.0,NA,5,16,22,48,107.0,10.0,1,1,true,-0.68,NA,5,16,22,49,107.0,10.0,2,0,false,0.0,NA,5,16,22,49,107.0,10.0,3,1,true,-0.68,NA,5,16,22,50,107.0,10.0,4,0,true,-0.68,NA,5,16,22,51,107.0,10.0,5,0,true,4.32,NA,5,16,23,52,112.0,5.0,0,0,false,0.0,NA,5,16,23,52,112.0,5.0,1,1,true,-0.68,NA,5,16,23,53,112.0,5.0,2,0,true,-0.68,NA,5,16,23,54,112.0,5.0,3,0,true,-0.68,NA,5,16,23,55,112.0,5.0,4,0,true,-0.68,NA,5,16,23,56,112.0,5.0,5,0,false,0.0,NA,5,16,23,56,112.0,5.0,6,1,true,9.32,NA,5,16,24,57,122.0,10.0,0,0,false,0.0,NA,5,16,24,57,122.0,10.0,1,1,false,0.0,NA,5,16,24,57,122.0,10.0,2,2,true,-0.68,NA,5,16,24,58,122.0,10.0,3,0,false,0.0,NA,5,16,24,58,122.0,10.0,4,1,false,0.0,NA,5,16,24,58,122.0,10.0,5,2,false,0.0,NA,5,16,24,58,122.0,10.0,6,3,true,9.32,NA,5,16,25,59,132.0,10.0,0,0,true,-0.68,NA,5,16,25,60,132.0,10.0,1,0,false,0.0,NA,5,16,25,60,132.0,10.0,2,1
75,4,11,9,59,136.0,27.0,15,4,true,-0.68,75,4,11,9,60,136.0,27.0,16,0,false,0.0,75,4,11,9,60,136.0,27.0,17,1,false,0.0,75,4,11,9,60,136.0,27.0,18,2,true,-0.68,75,4,11,9,61,136.0,27.0,19,0,false,0.0,75,4,11,9,61,136.0,27.0,20,1,false,0.0,75,4,11,9,61,136.0,27.0,21,2,true,29.32,75,4,11,10,62,166.0,30.0,0,0,true,7.32,75,4,11,11,63,174.0,8.0,0,0,true,4.32,75,4,11,12,64,179.0,5.0,0,0,true,-0.68,75,4,11,12,65,179.0,5.0,1,0,true,-0.68,75,4,11,12,66,179.0,5.0,2,0,false,0.0,76,4,11,12,66,179.0,5.0,3,1,true,-0.68,76,4,11,12,67,179.0,5.0,4,0,true,-0.68,76,4,11,12,68,179.0,5.0,5,0,false,0.0,76,4,11,12,68,179.0,5.0,6,1,true,-0.68,76,4,11,12,69,179.0,5.0,7,0,true,-0.68,76,4,11,12,70,179.0,5.0,8,0,true,-0.68,76,4,11,12,71,179.0,5.0,9,0,false,0.0,76,4,11,12,71,179.0,5.0,10,1,false,0.0,76,4,11,12,71,179.0,5.0,11,2,false,0.0,76,4,11,12,71,179.0,5.0,12,3,true,-0.68,76,4,11,12,72,179.0,5.0,13,0,true,-0.68,76,4,11,12,73,179.0,5.0,14,0,false,0.0,77,4,11,12,73,179.0,5.0,15,1
NA,NA,6,7,41,48.0,NA,NA,0,false,0.0,NA,NA,6,7,41,48.0,NA,NA,1,true,-0.68,NA,NA,6,7,42,48.0,NA,NA,0,false,0.0,NA,NA,6,7,42,48.0,NA,NA,1,true,-0.68,NA,NA,6,7,43,48.0,NA,NA,0,true,10.32,NA,NA,6,8,44,59.0,11.0,0,0,false,0.0,NA,NA,6,8,44,59.0,11.0,1,1,true,6.32,NA,NA,6,9,45,66.0,7.0,0,0,true,4.32,NA,NA,6,10,46,71.0,5.0,0,0,false,0.0,NA,NA,6,10,46,71.0,5.0,1,1,true,0.82,NA,NA,6,11,47,72.5,1.5,0,0,true,-0.68,NA,NA,6,11,48,72.5,1.5,1,0,false,0.0,NA,NA,6,11,48,72.5,1.5,2,1,false,0.0,NA,NA,6,11,48,72.5,1.5,3,2,true,2.32,NA,NA,6,12,49,75.5,3.0,0,0,true,-0.68,NA,NA,6,12,50,75.5,3.0,1,0,true,2.32,NA,NA,6,13,51,78.5,3.0,0,0,false,0.0,NA,NA,6,13,51,78.5,3.0,1,1,false,0.0,NA,NA,6,13,51,78.5,3.0,2,2,false,0.0,NA,NA,6,13,51,78.5,3.0,3,3,true,4.32,NA,NA,6,14,52,83.5,5.0,0,0,true,-0.68,NA,NA,6,14,53,83.5,5.0,1,0,true,-0.68,NA,NA,6,14,54,83.5,5.0,2,0,false,0.0,NA,NA,6,14,54,83.5,5.0,3,1,true,-0.68,NA,NA,6,14,55,83.5,5.0,4,0
48,6,1,2,12,6.0,3.0,1,2,true,9.32,48,6,1,3,13,16.0,10.0,0,0,false,0.0,48,6,1,3,13,16.0,10.0,1,1,true,39.32,48,6,1,4,14,56.0,40.0,0,0,true,-0.68,48,6,1,4,15,56.0,40.0,1,0,true,2.32,48,6,1,5,16,59.0,3.0,0,0,true,4.32,48,6,1,6,17,64.0,5.0,0,0,false,0.0,48,6,1,6,17,64.0,5.0,1,1,false,0.0,48,6,1,6,17,64.0,5.0,2,2,true,19.32,48,6,1,7,18,84.0,20.0,0,0,false,0.0,48,6,1,7,18,84.0,20.0,1,1,true,-0.68,48,6,1,7,19,84.0,20.0,2,0,true,-0.68,49,6,1,7,20,84.0,20.0,3,0,true,19.32,49,6,1,8,21,104.0,20.0,0,0,true,3.32,49,6,1,9,22,108.0,4.0,0,0,true,-0.68,49,6,1,9,23,108.0,4.0,1,0,false,0.0,49,6,1,9,23,108.0,4.0,2,1,true,7.32,49,6,1,10,24,116.0,8.0,0,0,false,0.0,49,6,1,10,24,116.0,8.0,1,1,false,0.0,49,6,1,10,24,116.0,8.0,2,2,true,-0.68,49,6,1,10,25,116.0,8.0,3,0,false,0.0,49,6,1,10,25,116.0,8.0,4,1,true,-0.68,49,6,1,10,26,116.0,8.0,5,0,false,0.0,49,6,1,10,26,116.0,8.0,6,1,true,-0.68,50,6,1,10,27,116.0,8.0,7,0
